mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0028842290242513022,0.0009188282573767961,0.0,0.0,None,1,2,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,82
0.003641843795776367,0.0010621573297945708,0.0,0.0,None,1,2,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,82
0.0030498504638671875,0.0009246295673679643,0.0,0.0,None,1,2,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,82
0.0022552808125813804,0.00031365455986412713,0.0,0.0,None,1,5,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,82
0.0021129449208577475,0.0003671863027938871,0.0,0.0,None,1,5,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,82
0.005239645640055339,0.0024955377365110084,0.0,0.0,None,1,5,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,82
0.004816532135009766,0.002899479228646448,0.0,0.0,None,1,10,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,82
0.0014981428782145183,8.392905928648765e-05,0.0,0.0,None,1,10,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,82
0.0017580986022949219,0.00019509254909909324,0.0,0.0,None,1,10,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,82
0.0014804999033610027,8.362848631659003e-05,0.0,0.0,None,2,2,50,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,82
