mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.003220717112223307,0.0012514611782967044,0.0,0.0,None,1,2,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,82
0.002665360768636068,0.0007415881375366144,0.0,0.0,None,1,2,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,82
0.002457300821940104,0.0005496477306902082,0.0,0.0,None,1,2,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,82
0.004618326822916667,0.002073492323457407,0.0,0.0,None,1,5,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,82
0.004337628682454427,0.0015186830103898936,0.0,0.0,None,1,5,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,82
0.0037697950998942056,0.00249970240446529,0.0,0.0,None,1,5,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,82
0.005898952484130859,0.004436274957858275,0.0,0.0,None,1,10,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,82
0.0018135706583658855,0.00023619892773491845,0.0,0.0,None,1,10,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,82
0.0022607644399007163,0.0009146956743723821,0.0,0.0,None,1,10,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,82
0.002914905548095703,0.0013210915388198554,0.0,0.0,None,2,2,50,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,82
0.0015181700388590496,0.0001050883059533678,0.0,0.0,None,2,2,100,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,82
0.003142674763997396,0.001103553290512823,0.0,0.0,None,2,2,200,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,82
0.002882719039916992,0.00212545268700784,0.0,0.0,None,2,5,50,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,82
0.001516898473103841,7.978402257566633e-05,0.0,0.0,None,2,5,100,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,82
0.0013988812764485676,5.681581383856455e-05,0.0,0.0,None,2,5,200,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,82
0.0019155343373616536,0.000841271982686176,0.0,0.0,None,2,10,50,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,82
0.0013828277587890625,2.3117997839979934e-05,0.0,0.0,None,2,10,100,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,82
0.0013695557912190754,8.197863353915134e-05,0.0,0.0,None,2,10,200,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,82
0.001511971155802409,0.00016956375980444182,0.0,0.0,None,4,2,50,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,82
0.0014774004618326824,0.00016173033512218582,0.0,0.0,None,4,2,100,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,82
