mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.006190061569213867,0.005625762312598487,0.0,0.0,None,1,2,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,82
0.0030007362365722656,0.0010370446502368253,0.0,0.0,None,1,2,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,82
0.0022630691528320312,0.0002642999443554778,0.0,0.0,None,1,2,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,82
0.0027979214986165366,0.0006933796641702853,0.0,0.0,None,1,5,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,82
0.0029915173848470054,0.0012264277715821853,0.0,0.0,None,1,5,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,82
0.0057841142018636065,0.0028259972211362385,0.0,0.0,None,1,5,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,82
0.006464481353759766,0.003387496747642507,0.0,0.0,None,1,10,50,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,82
0.0016372203826904297,9.731041965969813e-05,0.0,0.0,None,1,10,100,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,82
0.0016818841298421223,8.038498065118925e-05,0.0,0.0,None,1,10,200,"{'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,82
0.0016327699025472004,0.00012560071375050167,0.0,0.0,None,2,2,50,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,82
0.0028589566548665366,0.0015848530246179552,0.0,0.0,None,2,2,100,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,82
0.0015079975128173828,0.0001264890893835361,0.0,0.0,None,2,2,200,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,82
0.0016467571258544922,7.043833379246943e-05,0.0,0.0,None,2,5,50,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,82
0.0014770825703938801,9.706112464697407e-05,0.0,0.0,None,2,5,100,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,82
0.001410086949666341,5.966067329895264e-05,0.0,0.0,None,2,5,200,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,82
0.001407941182454427,0.00014625256303076254,0.0,0.0,None,2,10,50,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,82
0.0014505386352539062,6.025185472447481e-05,0.0,0.0,None,2,10,100,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,82
0.0013802051544189453,5.4303985891101936e-05,0.0,0.0,None,2,10,200,"{'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,82
0.0013192494710286458,7.884805164549093e-05,0.0,0.0,None,4,2,50,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,82
0.002346038818359375,0.0011603794280069047,0.0,0.0,None,4,2,100,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,82
0.0018811225891113281,0.0005470255428738854,0.0,0.0,None,4,2,200,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,82
0.0015302499135335286,0.00018067832616298188,0.0,0.0,None,4,5,50,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",,,,,,82
0.0014314651489257812,0.0001319917639847704,0.0,0.0,None,4,5,100,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,82
0.0017938613891601562,0.0006485912955550082,0.0,0.0,None,4,5,200,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,82
0.0028270085652669272,0.0016261103226886196,0.0,0.0,None,4,10,50,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,82
0.001695871353149414,0.00044830821193083157,0.0,0.0,None,4,10,100,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,82
0.0013988812764485676,8.520950896803971e-05,0.0,0.0,None,4,10,200,"{'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,82
0.12880595525105795,0.007175335410080415,0.00965738296508789,0.00045493080510533964,10,1,2,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.5601783060921253,-0.12858185800328537,-0.05059051648157964,-0.24645022685899676,0.2241125358870255,33
0.2444488207499186,0.01043894011963451,0.015767415364583332,0.001251830023359457,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.5601783060921253,-0.12858185800328537,-0.18191433104177723,-0.29022483171239594,0.19212365274715784,61
0.4611947536468506,0.0053745098660839905,0.025088389714558918,0.001101805151899413,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.4552923695481168,-0.019802883737908505,-0.15564956812973763,-0.21024827380525432,0.18193137361633768,13
0.13304702440897623,0.009432299848933318,0.009749809900919596,0.00044290965529426694,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.4028494012761126,0.034586603394780036,-0.10312004230565863,-0.15712761339566372,0.18262014829857404,1
0.24023771286010742,0.010439644928994457,0.013950347900390625,9.37626847771817e-05,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.507735337820121,-0.07419237087059694,-0.22131147540983642,-0.2677463947001848,0.1800130131314121,46
0.46136021614074707,0.008747148054869263,0.02386132876078288,0.0022867899948111696,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.4028494012761126,-0.07419237087059694,-0.10312004230565863,-0.1933872714841227,0.1485821667325547,8
0.11215694745381673,0.0032488836524246553,0.00863949457804362,0.00014930566807618595,10,1,10,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.507735337820121,-0.019802883737908505,-0.11625242376167844,-0.214596881773236,0.21098695734233253,15
0.22567160924275717,0.0039019087319989232,0.015050411224365234,0.0011469756098574384,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.5601783060921253,-0.07419237087059694,0.0019390093424992427,-0.21081055587340766,0.24898777136364741,14
0.4409450689951579,0.0057515153898398345,0.03460383415222168,0.015459164202712306,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.5601783060921253,-0.12858185800328537,-0.14251718667371804,-0.27709245025637624,0.20025275641379175,47
0.11604452133178711,0.0012910660390765738,0.010619004567464193,0.00028622057465439363,10,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-0.4028494012761126,-0.019802883737908505,-0.06372289793759944,-0.1621250609838735,0.1711595706130696,3
0.2306382656097412,0.009158366410593583,0.016472260157267254,0.00423298434130748,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.4028494012761126,-0.07419237087059694,0.0019390093424992427,-0.15836758760140343,0.17564645299871395,2
0.45284120241800946,0.004860963100675497,0.025137027104695637,0.0018040560099219212,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.507735337820121,-0.07419237087059694,-0.14251718667371804,-0.24148163178814533,0.1903248925661134,26
0.11639722188313802,0.0058720264307652705,0.008878946304321289,0.0009837398080613667,10,2,5,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-0.507735337820121,-0.12858185800328537,-0.08998766084963905,-0.24210161889101514,0.1884910828793837,28
0.22904475529988608,0.011900367388644395,0.014607111612955729,0.001037689293127408,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.5601783060921253,-0.12858185800328537,-0.16878194958575743,-0.285847371227056,0.19467427189841485,59
0.43436113993326825,0.006443507444906094,0.022881189982096355,0.00048806305186885747,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.4552923695481168,-0.12858185800328537,-0.14251718667371804,-0.2421304714083734,0.15083554943534147,31
0.1134035587310791,0.001472455476640867,0.008803606033325195,0.0002534193235892396,10,2,10,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-0.507735337820121,-0.1829713451359738,-0.15564956812973763,-0.28211875036194417,0.1599244681652342,58
0.21846365928649902,0.014756203831576248,0.012897094090779623,0.0015095458021321753,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.12858185800328537,-0.08998766084963905,-0.24210161889101514,0.1884910828793837,28
0.4269125461578369,0.008199852465877518,0.024973710378011067,0.001554401205230894,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.14251718667371804,-0.2596114608323748,0.17554228758309853,39
0.10716088612874348,0.004249074219439573,0.00790699323018392,0.00046754908000666524,10,4,2,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-0.5601783060921253,-0.1829713451359738,-0.14251718667371804,-0.2952222793006057,0.18807871904087334,66
0.23061148325602213,0.00986288591810781,0.01518869400024414,0.0010235633651700584,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-0.507735337820121,-0.12858185800328537,-0.14251718667371804,-0.2596114608323748,0.17554228758309853,39
0.45876606305440265,0.011126750314267733,0.024955590565999348,0.0015285774217825695,10,4,2,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-0.4552923695481168,-0.23736083226866223,-0.14251718667371804,-0.27839012949683234,0.1309443423209687,56
0.11986446380615234,0.007786386689260013,0.008635679880777994,0.0005431184418867464,10,4,5,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",-0.507735337820121,-0.12858185800328537,-0.19504671249779704,-0.2771213027737345,0.16531085685464653,48
0.21843536694844565,0.0029579992514029096,0.014421621958414713,0.00042135164159501793,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-0.4552923695481168,-0.1829713451359738,-0.19504671249779704,-0.2777701423939625,0.12562393475384936,55
0.4487749735514323,0.020347795481230776,0.025567134221394856,0.0007649114656872671,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.19504671249779704,-0.2771213027737345,0.16531085685464653,48
0.11096731821695964,0.0014069686228824498,0.008708715438842773,0.00043873670061882636,10,4,10,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-0.5601783060921253,-0.1829713451359738,-0.14251718667371804,-0.2952222793006057,0.18807871904087334,66
0.23179268836975098,0.0037865057518737,0.01463476816813151,0.0010886978725416522,10,4,10,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-0.5601783060921253,-0.1829713451359738,-0.14251718667371804,-0.2952222793006057,0.18807871904087334,66
0.43143129348754883,0.014681224775212259,0.022648175557454426,0.001859083760710728,10,4,10,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.1829713451359738,-0.19504671249779704,-0.295251131817964,0.1503298749960812,69
0.12508869171142578,0.004340104158476709,0.00901492436726888,0.0002795086348855601,20,1,2,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.4552923695481168,-0.03340025552108061,-0.15564956812973763,-0.21478073106631168,0.17723921648857172,16
0.23241853713989258,0.006824760260654614,0.013617753982543945,0.0007801855210718086,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.507735337820121,-0.07419237087059694,-0.12938480521769824,-0.2371041713028054,0.19268709076320611,24
1.057677427927653,0.4428458723621946,0.0750742753346761,0.045265539892589364,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.507735337820121,-0.07419237087059694,-0.12938480521769824,-0.2371041713028054,0.19268709076320611,24
0.2804709275563558,0.12300686617946455,0.025818824768066406,0.013399712226107889,20,1,5,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.6650642426361337,-0.12858185800328537,-0.18191433104177723,-0.3251868105603988,0.24131388935837247,79
0.5359367529551188,0.2253098278758856,0.0334169069925944,0.013511723849043743,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.4552923695481168,-0.019802883737908505,-0.06372289793759944,-0.17960605040787492,0.19576252932681257,4
0.45529429117838544,0.008628409654137298,0.025266091028849285,0.004411781916276073,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.4552923695481168,-0.019802883737908505,-0.10312004230565863,-0.19273843186389464,0.18874385618798956,7
0.11055803298950195,0.0006059707630387722,0.00841522216796875,0.00010100115660525046,20,1,10,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.507735337820121,-0.12858185800328537,-0.10312004230565863,-0.24647907937635502,0.18502828693055173,34
0.217576265335083,0.0031974856055374825,0.013737996419270834,0.0014431803360675005,20,1,10,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.12858185800328537,-0.08998766084963905,-0.24210161889101514,0.1884910828793837,28
0.7598074277242025,0.45682508799473787,0.044824441274007164,0.027502330675846957,20,1,10,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.10312004230565863,-0.24647907937635502,0.18502828693055173,34
0.3461154301961263,0.08212873631272964,0.02974867820739746,0.010343283759422952,20,2,2,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-0.6126212743641295,-0.1829713451359738,-0.08998766084963905,-0.29519342678324745,0.22764273207629385,65
0.22191675504048666,0.005370695292609995,0.01518861452738444,0.001728290785465028,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.4552923695481168,-0.12858185800328537,-0.06372289793759944,-0.21586570849633388,0.17135832961371633,17
0.9505476951599121,0.38521848407040526,0.08069316546122234,0.08017870351023211,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.4552923695481168,-0.019802883737908505,-0.08998766084963905,-0.1883609713785548,0.190911417907405,5
0.16318019231160483,0.06762153150254784,0.01032114028930664,0.0047863342073197245,20,2,5,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-0.717507210908138,-0.07419237087059694,-0.19504671249779704,-0.32891543142551066,0.279170343797047,80
0.2230372428894043,0.007169995526762002,0.014168103535970053,0.0008922906625062969,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.6650642426361337,-0.019802883737908505,-0.05059051648157964,-0.24515254761854063,0.29718831660738937,32
0.4436050256093343,0.011666988250247007,0.02473624547322591,0.0027829531196515403,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.507735337820121,-0.019802883737908505,-0.15564956812973763,-0.2277292632292557,0.2056147396968454,22
0.10475246111551921,0.00622198654757855,0.008263349533081055,8.927197331692549e-05,20,2,10,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-0.4552923695481168,-0.07419237087059694,-0.14251718667371804,-0.22400064236414394,0.165909548472336,20
0.2134838898976644,0.009279753737243922,0.013518015543619791,0.0006979402553616369,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.1829713451359738,-0.14251718667371804,-0.2777412898766043,0.16346677807494675,51
0.442740519841512,0.022238598614152075,0.024176597595214844,0.0005792973923184989,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.14251718667371804,-0.2596114608323748,0.17554228758309853,39
0.1108245849609375,0.006189400196208258,0.009181578954060873,0.00025190818111233006,20,4,2,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-0.507735337820121,-0.12858185800328537,-0.19504671249779704,-0.2771213027737345,0.16531085685464653,48
0.21811469395955405,0.007708811769579764,0.015512228012084961,0.002722606249230746,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-0.507735337820121,-0.1829713451359738,-0.19504671249779704,-0.295251131817964,0.1503298749960812,69
0.4400962193806966,0.0199150654958357,0.024558146794637043,0.0007992916952799053,20,4,2,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-0.4552923695481168,-0.1829713451359738,-0.14251718667371804,-0.2602603004526029,0.1388938820730424,45
0.12371571858723958,0.006010382082881425,0.01112667719523112,0.0017135150780944566,20,4,5,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",-0.4552923695481168,0.034586603394780036,-0.19504671249779704,-0.2052508262170446,0.20012237087257947,9
0.21548795700073242,0.004881705136664208,0.014356454213460287,0.0009504414107703189,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-0.507735337820121,-0.1829713451359738,-0.14251718667371804,-0.2777412898766043,0.16346677807494675,51
0.8306856950124105,0.3298681763038996,0.040063063303629555,0.02313909169249174,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-0.507735337820121,-0.23736083226866223,-0.19504671249779704,-0.3133809608621934,0.13851074342212338,76
0.1868445078531901,0.1210739362697487,0.01477487881978353,0.009649788536142935,20,4,10,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-0.6650642426361337,-0.1829713451359738,-0.03745813502556006,-0.2951645742658892,0.26821986885696597,64
0.5201481183369955,0.15859540903057726,0.04016335805257162,0.02172139402799419,20,4,10,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.1829713451359738,-0.19504671249779704,-0.295251131817964,0.1503298749960812,69
0.42725038528442383,0.011554817166366917,0.023119767506917317,0.000546083597537131,20,4,10,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-0.5601783060921253,-0.23736083226866223,-0.14251718667371804,-0.3133521083448352,0.178775852579374,75
0.11647725105285645,0.003086873198966737,0.008954604466756185,0.0003481489471707802,30,1,2,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.507735337820121,-0.07419237087059694,-0.2869733826899352,-0.2896336971268844,0.1770031713511119,60
0.23407522837320963,0.007263842435023898,0.01568452517191569,0.0027972478418036716,30,1,2,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.5601783060921253,-0.019802883737908505,-0.07685527939361925,-0.21894548974121766,0.24240959851539587,18
0.46663673718770343,0.00866131627094389,0.023041725158691406,0.0013743985944969946,30,1,2,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.6126212743641295,-0.12858185800328537,-0.2738410012339154,-0.33834804453377676,0.2028043525571781,81
0.36545054117838544,0.06996848122179344,0.03699715932210287,0.014899470261742414,30,1,5,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.6126212743641295,0.08897609052746847,-0.15564956812973763,-0.22643158398879956,0.2907659837194542,21
0.3776097297668457,0.18570667457783277,0.016426483790079754,0.0039453061093264255,30,1,5,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.6126212743641295,-0.12858185800328537,-0.10312004230565863,-0.28144105822435783,0.2344103633750641,57
0.4356091022491455,0.012681641474305439,0.024230480194091797,0.002286904945874544,30,1,5,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.10312004230565863,-0.24647907937635502,0.18502828693055173,34
0.11072595914204915,0.002874947348825243,0.008613189061482748,0.0001889453158174038,30,1,10,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.6650642426361337,-0.07419237087059694,-0.19504671249779704,-0.3114344420015092,0.25487509345455106,74
0.21451393763224283,0.00222305318968046,0.013381401697794596,0.0010326773785783764,30,1,10,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.12858185800328537,-0.14251718667371804,-0.2596114608323748,0.17554228758309853,39
0.7441376050313314,0.3436680952055584,0.03754218419392904,0.02454669645822898,30,1,10,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.14251718667371804,-0.2596114608323748,0.17554228758309853,39
